article,question,question_chars,question_words
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨ÿ╨ÿ╨í,**Какая минимальная сумма пополнения ИИС и минимальный срок владения счетом?**,78,10
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨ÿ╨ÿ╨í,**Какие преимущества у ИИС перед брокерским счетом?**,53,7
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨ÿ╨ÿ╨í,**Можно ли одновременно получать оба типа вычетов по ИИС?**,59,9
╨£╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╤ï╨╕╠å ╨▓╤ï╨▓╨╛╨┤,**Что такое маржинальный вывод на брокерском счете?**,53,7
╨£╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╤ï╨╕╠å ╨▓╤ï╨▓╨╛╨┤,**Сколько стоит маржинальный вывод?**,37,4
╨£╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╤ï╨╕╠å ╨▓╤ï╨▓╨╛╨┤,**Какие риски связаны с маржинальным выводом?**,47,6
╨£╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╤ï╨╕╠å ╨▓╤ï╨▓╨╛╨┤,**Как рассчитывается стоимость ликвидного портфеля?**,53,5
╨£╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╤ï╨╕╠å ╨▓╤ï╨▓╨╛╨┤,**Как воспользоваться маржинальным выводом?**,45,4
╨Ü╨░╨║ ╤é╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨▓ ╤ê╨╛╤Ç╤é,Что такое торговля в шорт и как она работает?,45,9
╨Ü╨░╨║ ╤é╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨▓ ╤ê╨╛╤Ç╤é,Как технически происходит процесс продажи актива в шорт?,56,8
╨Ü╨░╨║ ╤é╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨▓ ╤ê╨╛╤Ç╤é,Что такое маржин-колл и как он работает?,40,7
╨Ü╨░╨║ ╤é╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨▓ ╤ê╨╛╤Ç╤é,Как закрыть шорт-позицию?,25,3
╨Ü╨░╨║ ╤é╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨▓ ╤ê╨╛╤Ç╤é,"Что произойдет, если продать акцию в шорт перед выплатой дивидендов?",68,10
╨₧╤é╤ç╨╡╤é╤ï ╨╕ ╤ü╨┐╤Ç╨░╨▓╨║╨╕,**Как заказать документы по брокерскому счету и ИИС в Т‑Банке?**,64,10
╨₧╤é╤ç╨╡╤é╤ï ╨╕ ╤ü╨┐╤Ç╨░╨▓╨║╨╕,**Как заказать документы для налогового вычета по ИИС в Т‑Банке?**,66,10
╨₧╤é╤ç╨╡╤é╤ï ╨╕ ╤ü╨┐╤Ç╨░╨▓╨║╨╕,**Что такое брокерский отчет и зачем он нужен?**,48,8
╨₧╤é╤ç╨╡╤é╤ï ╨╕ ╤ü╨┐╤Ç╨░╨▓╨║╨╕,**Что такое налоговый отчет и зачем он нужен?**,47,8
╨₧╤é╤ç╨╡╤é╤ï ╨╕ ╤ü╨┐╤Ç╨░╨▓╨║╨╕,**Как скачать документы от Т‑Инвестиций и 2-НДФЛ из личного кабинета налогоплательщика?**,89,11
╨Ü╨░╨║ ╨╛╤é╨║╤Ç╤ï╤é╤î ╨ÿ╨ÿ╨í,**Как открыть ИИС в Т‑Инвестициях онлайн?**,43,6
╨Ü╨░╨║ ╨╛╤é╨║╤Ç╤ï╤é╤î ╨ÿ╨ÿ╨í,**Какие документы нужны для открытия ИИС?**,43,6
╨Ü╨░╨║ ╨╛╤é╨║╤Ç╤ï╤é╤î ╨ÿ╨ÿ╨í,**С какого возраста можно открыть ИИС?**,40,6
╨Ü╨░╨║ ╨╛╤é╨║╤Ç╤ï╤é╤î ╨ÿ╨ÿ╨í,"**Можно ли открыть ИИС, если я ИП или самозанятый?**",52,9
╨Ü╨░╨║ ╨╛╤é╨║╤Ç╤ï╤é╤î ╨ÿ╨ÿ╨í,**Сколько ИИС можно открыть одновременно?**,43,5
╨Ü╤â╨┐╨╛╨╜╨╜╤ï╨╕╠å ╨┤╨╛╤à╨╛╨┤ ╨┐╨╛ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╤Å╨╝,**Что такое купонный доход по облигациям и как он выплачивается?**,66,10
╨Ü╤â╨┐╨╛╨╜╨╜╤ï╨╕╠å ╨┤╨╛╤à╨╛╨┤ ╨┐╨╛ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╤Å╨╝,**Какие валюты могут использоваться для выплаты купонов по облигациям?**,72,9
╨Ü╤â╨┐╨╛╨╜╨╜╤ï╨╕╠å ╨┤╨╛╤à╨╛╨┤ ╨┐╨╛ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╤Å╨╝,"**Нужно ли обязательно продавать облигации, чтобы получить купонный доход?**",76,9
╨Ü╤â╨┐╨╛╨╜╨╜╤ï╨╕╠å ╨┤╨╛╤à╨╛╨┤ ╨┐╨╛ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╤Å╨╝,**Как узнать дату и размер выплат купонов по облигациям?**,58,9
╨Ü╤â╨┐╨╛╨╜╨╜╤ï╨╕╠å ╨┤╨╛╤à╨╛╨┤ ╨┐╨╛ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╤Å╨╝,**Что такое накопленный купонный доход (НКД) и как он влияет на цену облигации?**,81,13
╨ó╤Ç╨╡╨▒╨╛╨▓╨░╨╜╨╕╤Å ╨║ ╨╕╨╜╨╛╤ü╤é╤Ç╨░╨╜╨╜╤ï╨╝ ╤ü╤ç╨╡╤é╨░╨╝,**Какие категории иностранных счетов и финансовых инструментов подлежат обязательному уведомлению и отчетности в ФНС?**,119,14
╨ó╤Ç╨╡╨▒╨╛╨▓╨░╨╜╨╕╤Å ╨║ ╨╕╨╜╨╛╤ü╤é╤Ç╨░╨╜╨╜╤ï╨╝ ╤ü╤ç╨╡╤é╨░╨╝,**Какие сроки подачи уведомления и отчетности об иностранных счетах установлены законодательством?**,100,11
╨ó╤Ç╨╡╨▒╨╛╨▓╨░╨╜╨╕╤Å ╨║ ╨╕╨╜╨╛╤ü╤é╤Ç╨░╨╜╨╜╤ï╨╝ ╤ü╤ç╨╡╤é╨░╨╝,**Какие санкции предусмотрены за несвоевременное или неполное уведомление и отчетность об иностранных счетах?**,111,13
╨ó╤Ç╨╡╨▒╨╛╨▓╨░╨╜╨╕╤Å ╨║ ╨╕╨╜╨╛╤ü╤é╤Ç╨░╨╜╨╜╤ï╨╝ ╤ü╤ç╨╡╤é╨░╨╝,"**Какие доходы, полученные на иностранные счета, подлежат декларированию и налогообложению в России?**",102,12
╨Ü╨░╨║ ╤é╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨▓ ╨╗╨╛╨╜╨│,**Что такое торговля в лонг и как она работает?**,49,9
╨Ü╨░╨║ ╤é╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨▓ ╨╗╨╛╨╜╨│,**Как технически выглядит процесс покупки актива в лонг?**,58,8
╨Ü╨░╨║ ╤é╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨▓ ╨╗╨╛╨╜╨│,**Какие риски связаны с маржинальной торговлей в лонг?**,56,8
╨Ü╨░╨║ ╤é╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨▓ ╨╗╨╛╨╜╨│,**Как рассчитывается доступная сумма сделки в лонг?**,53,7
╨Ü╨░╨║ ╤é╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨▓ ╨╗╨╛╨╜╨│,**Как брокер контролирует риски маржинальной торговли в лонг?**,63,8
╨Ü╨░╨║ ╨┐╨╛╨╗╤â╤ç╨╕╤é╤î ╤ü╤é╨░╤é╤â╤ü ╨║╨▓╨░╨╗╨╕╤ä╨╕╤å╨╕╤Ç╨╛╨▓╨░╨╜╨╜╨╛╨│╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨░,**Как можно получить статус квалифицированного инвестора в Т‑Инвестициях?**,75,8
╨Ü╨░╨║ ╨┐╨╛╨╗╤â╤ç╨╕╤é╤î ╤ü╤é╨░╤é╤â╤ü ╨║╨▓╨░╨╗╨╕╤ä╨╕╤å╨╕╤Ç╨╛╨▓╨░╨╜╨╜╨╛╨│╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨░,"**Подойдет ли статус квалифицированного инвестора, полученный у другого брокера?**",82,9
╨Ü╨░╨║ ╨┐╨╛╨╗╤â╤ç╨╕╤é╤î ╤ü╤é╨░╤é╤â╤ü ╨║╨▓╨░╨╗╨╕╤ä╨╕╤å╨╕╤Ç╨╛╨▓╨░╨╜╨╜╨╛╨│╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨░,**Почему по статусу квалифицированного инвестора может прийти отказ?**,70,8
╨Ü╨░╨║ ╨┐╨╛╨╗╤â╤ç╨╕╤é╤î ╤ü╤é╨░╤é╤â╤ü ╨║╨▓╨░╨╗╨╕╤ä╨╕╤å╨╕╤Ç╨╛╨▓╨░╨╜╨╜╨╛╨│╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨░,"**Какие документы нужно предоставить, если статус квалифицированного инвестора присваивается на основе решения другого брокера?**",129,14
╨Ü╨░╨║ ╨┐╨╛╨╗╤â╤ç╨╕╤é╤î ╤ü╤é╨░╤é╤â╤ü ╨║╨▓╨░╨╗╨╕╤ä╨╕╤å╨╕╤Ç╨╛╨▓╨░╨╜╨╜╨╛╨│╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨░,"**Что делать, если пополнение брокерского счета было произведено в последние два рабочих дня?**",95,13
╨Æ╨╛ ╤ç╤é╨╛ ╨╝╨╛╨╢╨╜╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╤é╤î,**Какие основные способы инвестирования доступны частным лицам в России?**,74,9
╨Æ╨╛ ╤ç╤é╨╛ ╨╝╨╛╨╢╨╜╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╤é╤î,**Какие преимущества и особенности имеет брокерский счет для частных инвесторов?**,82,10
╨Æ╨╛ ╤ç╤é╨╛ ╨╝╨╛╨╢╨╜╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╤é╤î,**Какие виды инвестиций доступны иностранцам в России?**,56,7
╨Æ╨╛ ╤ç╤é╨╛ ╨╝╨╛╨╢╨╜╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╤é╤î,**Что такое ИИС (индивидуальный инвестиционный счет) и какие его преимущества?**,80,10
╨Æ╨╛ ╤ç╤é╨╛ ╨╝╨╛╨╢╨╜╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╤é╤î,**Какие инструменты доступны для инвестирования через брокерский счет?**,72,8
╨ù╨░╨║╤Ç╤ï╤é╤ï╨╡ ╨┐╨░╨╡╨▓╤ï╨╡ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╛╨╜╨╜╤ï╨╡ ╤ä╨╛╨╜╨┤╤ï (╨ù╨ƒ╨ÿ╨ñ),Что такое закрытые паевые инвестиционные фонды (ЗПИФ)?,54,7
╨ù╨░╨║╤Ç╤ï╤é╤ï╨╡ ╨┐╨░╨╡╨▓╤ï╨╡ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╛╨╜╨╜╤ï╨╡ ╤ä╨╛╨╜╨┤╤ï (╨ù╨ƒ╨ÿ╨ñ),Какие активы могут инвестировать управляющие компании ЗПИФ?,59,7
╨ù╨░╨║╤Ç╤ï╤é╤ï╨╡ ╨┐╨░╨╡╨▓╤ï╨╡ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╛╨╜╨╜╤ï╨╡ ╤ä╨╛╨╜╨┤╤ï (╨ù╨ƒ╨ÿ╨ñ),Как пайщики могут получать доход от ЗПИФ?,41,7
╨ù╨░╨║╤Ç╤ï╤é╤ï╨╡ ╨┐╨░╨╡╨▓╤ï╨╡ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╛╨╜╨╜╤ï╨╡ ╤ä╨╛╨╜╨┤╤ï (╨ù╨ƒ╨ÿ╨ñ),Как торговать паями ЗПИФ?,25,4
╨ù╨░╨║╤Ç╤ï╤é╤ï╨╡ ╨┐╨░╨╡╨▓╤ï╨╡ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╛╨╜╨╜╤ï╨╡ ╤ä╨╛╨╜╨┤╤ï (╨ù╨ƒ╨ÿ╨ñ),Какие преимущества и риски ЗПИФ?,32,5
╨ù╨ƒ╨ÿ╨ñ ╨╜╨╡╨┤╨▓╨╕╨╢╨╕╨╝╨╛╤ü╤é╨╕ ┬½╨Ü╨▓╨░╨┤╤Ç╨░╤é╨╜╤ï╨╡ ╨╝╨╡╤é╤Ç╤ï┬╗ ╨╛╤é ╨óΓÇæ╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Что представляет собой фонд недвижимости «Квадратные метры» и какова его основная цель?**,91,12
╨ù╨ƒ╨ÿ╨ñ ╨╜╨╡╨┤╨▓╨╕╨╢╨╕╨╝╨╛╤ü╤é╨╕ ┬½╨Ü╨▓╨░╨┤╤Ç╨░╤é╨╜╤ï╨╡ ╨╝╨╡╤é╤Ç╤ï┬╗ ╨╛╤é ╨óΓÇæ╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Какова минимальная сумма для покупки пая фонда «Квадратные метры» и какие преимущества это дает инвесторам?**,111,15
╨ù╨ƒ╨ÿ╨ñ ╨╜╨╡╨┤╨▓╨╕╨╢╨╕╨╝╨╛╤ü╤é╨╕ ┬½╨Ü╨▓╨░╨┤╤Ç╨░╤é╨╜╤ï╨╡ ╨╝╨╡╤é╤Ç╤ï┬╗ ╨╛╤é ╨óΓÇæ╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Какие риски и комиссии существуют при инвестировании в фонд «Квадратные метры»?**,83,11
╨ù╨ƒ╨ÿ╨ñ ╨╜╨╡╨┤╨▓╨╕╨╢╨╕╨╝╨╛╤ü╤é╨╕ ┬½╨Ü╨▓╨░╨┤╤Ç╨░╤é╨╜╤ï╨╡ ╨╝╨╡╤é╤Ç╤ï┬╗ ╨╛╤é ╨óΓÇæ╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Как рассчитывается цена пая фонда «Квадратные метры» и как она меняется в процессе строительства и после завершения проекта?**,128,18
╨ù╨ƒ╨ÿ╨ñ ╨╜╨╡╨┤╨▓╨╕╨╢╨╕╨╝╨╛╤ü╤é╨╕ ┬½╨Ü╨▓╨░╨┤╤Ç╨░╤é╨╜╤ï╨╡ ╨╝╨╡╤é╤Ç╤ï┬╗ ╨╛╤é ╨óΓÇæ╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Можно ли обменять паи фонда «Квадратные метры» на недвижимость из фонда?**,76,11
╨¥╨░╨╗╨╛╨│ ╨╜╨░ ╨┤╨╛╤à╨╛╨┤ ╨╛╤é ╤é╨╛╤Ç╨│╨╛╨▓╨╗╨╕ ╤å╨╡╨╜╨╜╤ï╨╝╨╕ ╨▒╤â╨╝╨░╨│╨░╨╝╨╕,**Какие доходы от торговли ценными бумагами облагаются налогом в России?**,74,10
╨¥╨░╨╗╨╛╨│ ╨╜╨░ ╨┤╨╛╤à╨╛╨┤ ╨╛╤é ╤é╨╛╤Ç╨│╨╛╨▓╨╗╨╕ ╤å╨╡╨╜╨╜╤ï╨╝╨╕ ╨▒╤â╨╝╨░╨│╨░╨╝╨╕,**Как брокер удерживает налог с доходов от торговли ценными бумагами?**,71,10
╨¥╨░╨╗╨╛╨│ ╨╜╨░ ╨┤╨╛╤à╨╛╨┤ ╨╛╤é ╤é╨╛╤Ç╨│╨╛╨▓╨╗╨╕ ╤å╨╡╨╜╨╜╤ï╨╝╨╕ ╨▒╤â╨╝╨░╨│╨░╨╝╨╕,"**Нужно ли самостоятельно декларировать доходы от торговли ценными бумагами, если брокер удерживает налог автоматически?**",122,14
╨¥╨░╨╗╨╛╨│ ╨╜╨░ ╨┤╨╛╤à╨╛╨┤ ╨╛╤é ╤é╨╛╤Ç╨│╨╛╨▓╨╗╨╕ ╤å╨╡╨╜╨╜╤ï╨╝╨╕ ╨▒╤â╨╝╨░╨│╨░╨╝╨╕,**Как рассчитывается налоговая ставка на доходы от торговли ценными бумагами?**,79,10
╨¥╨░╨╗╨╛╨│ ╨╜╨░ ╨┤╨╛╤à╨╛╨┤ ╨╛╤é ╤é╨╛╤Ç╨│╨╛╨▓╨╗╨╕ ╤å╨╡╨╜╨╜╤ï╨╝╨╕ ╨▒╤â╨╝╨░╨│╨░╨╝╨╕,**Какие документы или подтверждения доходов от торговли ценными бумагами необходимо предоставить при подаче налоговой декларации?**,131,15
╨ö╨╛╨║╤â╨╝╨╡╨╜╤é╤ï ╨┤╨╗╤Å ╤â╤ç╨╡╤é╨░ ╨▒╤â╨╝╨░╨│ ╨┐╤Ç╨╕ ╨┤╨╡╨┐╨╛╨╖╨╕╤é╨░╤Ç╨╜╨╛╨╝ ╨┐╨╡╤Ç╨╡╨▓╨╛╨┤╨╡ ╨▓ ╨óΓÇæ╨æ╨░╨╜╨║,**Какие документы нужно предоставить для учета расходов при депозитарном переводе ценных бумаг в Т‑Банк?**,106,14
╨ö╨╛╨║╤â╨╝╨╡╨╜╤é╤ï ╨┤╨╗╤Å ╤â╤ç╨╡╤é╨░ ╨▒╤â╨╝╨░╨│ ╨┐╤Ç╨╕ ╨┤╨╡╨┐╨╛╨╖╨╕╤é╨░╤Ç╨╜╨╛╨╝ ╨┐╨╡╤Ç╨╡╨▓╨╛╨┤╨╡ ╨▓ ╨óΓÇæ╨æ╨░╨╜╨║,**Какие сроки нужно соблюдать при передаче документов для учета расходов?**,75,10
╨ö╨╛╨║╤â╨╝╨╡╨╜╤é╤ï ╨┤╨╗╤Å ╤â╤ç╨╡╤é╨░ ╨▒╤â╨╝╨░╨│ ╨┐╤Ç╨╕ ╨┤╨╡╨┐╨╛╨╖╨╕╤é╨░╤Ç╨╜╨╛╨╝ ╨┐╨╡╤Ç╨╡╨▓╨╛╨┤╨╡ ╨▓ ╨óΓÇæ╨æ╨░╨╜╨║,"**Что делать, если ценные бумаги были куплены у другого брокера и переведены в Т‑Банк от него?**",96,16
╨ö╨╛╨║╤â╨╝╨╡╨╜╤é╤ï ╨┤╨╗╤Å ╤â╤ç╨╡╤é╨░ ╨▒╤â╨╝╨░╨│ ╨┐╤Ç╨╕ ╨┤╨╡╨┐╨╛╨╖╨╕╤é╨░╤Ç╨╜╨╛╨╝ ╨┐╨╡╤Ç╨╡╨▓╨╛╨┤╨╡ ╨▓ ╨óΓÇæ╨æ╨░╨╜╨║,"**Что делать, если ценные бумаги были куплены у другого брокера и перед переводом в Т‑Банк их переводили между другими брокерами?**",131,20
╨ù╨░╤ç╨╡╨╝ ╨╜╤â╨╢╨╡╨╜ ╤ü╤é╨░╤é╤â╤ü ╨║╨▓╨░╨╗╨╕╤ä╨╕╤å╨╕╤Ç╨╛╨▓╨░╨╜╨╜╨╛╨│╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨░,**Что такое статус квалифицированного инвестора и зачем его получать?**,71,9
╨ù╨░╤ç╨╡╨╝ ╨╜╤â╨╢╨╡╨╜ ╤ü╤é╨░╤é╤â╤ü ╨║╨▓╨░╨╗╨╕╤ä╨╕╤å╨╕╤Ç╨╛╨▓╨░╨╜╨╜╨╛╨│╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨░,**Какие финансовые инструменты доступны квалифицированным инвесторам?**,71,6
╨ù╨░╤ç╨╡╨╝ ╨╜╤â╨╢╨╡╨╜ ╤ü╤é╨░╤é╤â╤ü ╨║╨▓╨░╨╗╨╕╤ä╨╕╤å╨╕╤Ç╨╛╨▓╨░╨╜╨╜╨╛╨│╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨░,"**Какие условия нужно выполнить, чтобы получить статус квалифицированного инвестора?**",86,9
╨ù╨░╤ç╨╡╨╝ ╨╜╤â╨╢╨╡╨╜ ╤ü╤é╨░╤é╤â╤ü ╨║╨▓╨░╨╗╨╕╤ä╨╕╤å╨╕╤Ç╨╛╨▓╨░╨╜╨╜╨╛╨│╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨░,**Какие документы подтверждают статус квалифицированного инвестора?**,69,6
╨ù╨░╤ç╨╡╨╝ ╨╜╤â╨╢╨╡╨╜ ╤ü╤é╨░╤é╤â╤ü ╨║╨▓╨░╨╗╨╕╤ä╨╕╤å╨╕╤Ç╨╛╨▓╨░╨╜╨╜╨╛╨│╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨░,**Какие преимущества дает статус квалифицированного инвестора?**,64,6
╨¥╨░╨╗╨╛╨│ ╨╜╨░ ╨╝╨░╤é╨╡╤Ç╨╕╨░╨╗╤î╨╜╤â╤Ä ╨▓╤ï╨│╨╛╨┤╤â ╨┤╨╗╤Å ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨╛╨▓,**Что такое налог на материальную выгоду и когда он применяется при инвестициях?**,82,12
╨¥╨░╨╗╨╛╨│ ╨╜╨░ ╨╝╨░╤é╨╡╤Ç╨╕╨░╨╗╤î╨╜╤â╤Ä ╨▓╤ï╨│╨╛╨┤╤â ╨┤╨╗╤Å ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨╛╨▓,**Как рассчитывается налог на материальную выгоду при покупке акций на внебиржевом рынке?**,91,12
╨¥╨░╨╗╨╛╨│ ╨╜╨░ ╨╝╨░╤é╨╡╤Ç╨╕╨░╨╗╤î╨╜╤â╤Ä ╨▓╤ï╨│╨╛╨┤╤â ╨┤╨╗╤Å ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨╛╨▓,**Может ли материальная выгода снизить налоговую базу от продажи бумаги?**,74,10
╨¥╨░╨╗╨╛╨│ ╨╜╨░ ╨╝╨░╤é╨╡╤Ç╨╕╨░╨╗╤î╨╜╤â╤Ä ╨▓╤ï╨│╨╛╨┤╤â ╨┤╨╗╤Å ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨╛╨▓,"**Как узнать сумму налога на материальную выгоду, который был удержан с покупки ценных бумаг?**",95,14
╨¥╨░╨╗╨╛╨│ ╨╜╨░ ╨╝╨░╤é╨╡╤Ç╨╕╨░╨╗╤î╨╜╤â╤Ä ╨▓╤ï╨│╨╛╨┤╤â ╨┤╨╗╤Å ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨╛╨▓,,0,0
╨É╨║╤å╨╕╨╕ ╨▓╨╜╨╡ ╨║╨╛╤é╨╕╤Ç╨╛╨▓╨░╨╗╤î╨╜╤ï╤à ╤ü╨┐╨╕╤ü╨║╨╛╨▓,**Что такое котировальные уровни и как они влияют на акции компаний вне котировальных списков?**,96,14
╨É╨║╤å╨╕╨╕ ╨▓╨╜╨╡ ╨║╨╛╤é╨╕╤Ç╨╛╨▓╨░╨╗╤î╨╜╤ï╤à ╤ü╨┐╨╕╤ü╨║╨╛╨▓,**Какие риски связаны с акциями вне котировальных списков?**,60,8
╨É╨║╤å╨╕╨╕ ╨▓╨╜╨╡ ╨║╨╛╤é╨╕╤Ç╨╛╨▓╨░╨╗╤î╨╜╤ï╤à ╤ü╨┐╨╕╤ü╨║╨╛╨▓,**Каковы признаки акций вне котировальных списков?**,52,6
╨É╨║╤å╨╕╨╕ ╨▓╨╜╨╡ ╨║╨╛╤é╨╕╤Ç╨╛╨▓╨░╨╗╤î╨╜╤ï╤à ╤ü╨┐╨╕╤ü╨║╨╛╨▓,"**Почему акции вне котировальных списков могут торговаться как на бирже, так и на внебиржевом рынке?**",102,15
╨í╤Ç╨╛╤ç╨╜╤ï╨╕╠å ╤Ç╤ï╨╜╨╛╨║,Что такое срочный рынок?,24,4
╨í╤Ç╨╛╤ç╨╜╤ï╨╕╠å ╤Ç╤ï╨╜╨╛╨║,Что такое деривативы?,21,3
╨í╤Ç╨╛╤ç╨╜╤ï╨╕╠å ╤Ç╤ï╨╜╨╛╨║,Кто может торговать на срочном рынке?,37,6
╨í╤Ç╨╛╤ç╨╜╤ï╨╕╠å ╤Ç╤ï╨╜╨╛╨║,Что такое фьючерсы и для чего они нужны?,40,8
╨í╤Ç╨╛╤ç╨╜╤ï╨╕╠å ╤Ç╤ï╨╜╨╛╨║,Что такое опционы и как они работают?,37,7
╨º╤é╨╛ ╨╜╤â╨╢╨╜╨╛ ╨┤╨╗╤Å ╤ü╤é╨░╤é╤â╤ü╨░ ╨║╨▓╨░╨╗╨╕╤ä╨╕╤å╨╕╤Ç╨╛╨▓╨░╨╜╨╜╨╛╨│╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨░,Какие основные требования для получения статуса квалифицированного инвестора?,77,8
╨º╤é╨╛ ╨╜╤â╨╢╨╜╨╛ ╨┤╨╗╤Å ╤ü╤é╨░╤é╤â╤ü╨░ ╨║╨▓╨░╨╗╨╕╤ä╨╕╤å╨╕╤Ç╨╛╨▓╨░╨╜╨╜╨╛╨│╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨░,"Какие документы нужно предоставить, если у меня уже есть статус квалифицированного инвестора у другого брокера?",111,15
╨º╤é╨╛ ╨╜╤â╨╢╨╜╨╛ ╨┤╨╗╤Å ╤ü╤é╨░╤é╤â╤ü╨░ ╨║╨▓╨░╨╗╨╕╤ä╨╕╤å╨╕╤Ç╨╛╨▓╨░╨╜╨╜╨╛╨│╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨░,Какие требования к квалифицированным инвесторам по обороту?,59,7
╨º╤é╨╛ ╨╜╤â╨╢╨╜╨╛ ╨┤╨╗╤Å ╤ü╤é╨░╤é╤â╤ü╨░ ╨║╨▓╨░╨╗╨╕╤ä╨╕╤å╨╕╤Ç╨╛╨▓╨░╨╜╨╜╨╛╨│╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨░,Какие требования к квалифицированным инвесторам по активам?,59,7
╨Ü╨░╨║ ╨┐╨╛╨║╤â╨┐╨░╤é╤î ╨╕ ╨┐╤Ç╨╛╨┤╨░╨▓╨░╤é╤î ╤å╨╡╨╜╨╜╤ï╨╡ ╨▒╤â╨╝╨░╨│╨╕ ╨╕ ╨▓╨░╨╗╤Ä╤é╤â,**Какие активы доступны для покупки на брокерском счете в Т⁠-⁠Инвестициях?**,76,10
╨Ü╨░╨║ ╨┐╨╛╨║╤â╨┐╨░╤é╤î ╨╕ ╨┐╤Ç╨╛╨┤╨░╨▓╨░╤é╤î ╤å╨╡╨╜╨╜╤ï╨╡ ╨▒╤â╨╝╨░╨│╨╕ ╨╕ ╨▓╨░╨╗╤Ä╤é╤â,**Как пополнить брокерский счет в Т⁠-⁠Инвестициях?**,52,6
╨Ü╨░╨║ ╨┐╨╛╨║╤â╨┐╨░╤é╤î ╨╕ ╨┐╤Ç╨╛╨┤╨░╨▓╨░╤é╤î ╤å╨╡╨╜╨╜╤ï╨╡ ╨▒╤â╨╝╨░╨│╨╕ ╨╕ ╨▓╨░╨╗╤Ä╤é╤â,**Какая комиссия взимается за покупку ценных бумаг и валюты на брокерском счете?**,82,12
